,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
2974,2974,4.9409450999999995,Watched,['News & Politics'],278.0,18552.0,532.0,678969.0,2019,12,11,21,22,2,https://www.youtube.com/watch?v=OV-_CE6t05M,The Chinese React To Disney’s Mulan Trailer | ASIAN BOSS,youtube,,2019-12-11 21:22:00
2973,2973,,Searched,,,,,,2019,12,11,21,34,2,https://www.youtube.com/results?search_query=asianboss+china+feminism,,youtube,,2019-12-11 21:34:00
2971,2971,4.932476,Watched,['Music'],3748.0,218277.0,208.0,13839017.0,2019,12,11,21,35,2,https://www.youtube.com/watch?v=6AAKi1OLZzQ,EXO 엑소 '으르렁 (Growl)' MV (Chinese Ver.),youtube,,2019-12-11 21:35:00
2972,2972,,Searched,,,,,,2019,12,11,21,35,2,https://www.youtube.com/results?search_query=beautiful+beautiful+francesca+battistelli,,youtube,,2019-12-11 21:35:00
2970,2970,4.953580400000001,Watched,['Music'],1810.0,154159.0,274.0,6880580.0,2019,12,11,21,35,2,https://www.youtube.com/watch?v=jZjoebuUM_w,EXO 엑소 '12월의 기적 (Miracles in December)' MV (Chinese Ver.),youtube,,2019-12-11 21:35:00
2969,2969,4.5927477,Watched,['Music'],73.0,644.0,186.0,70331.0,2019,12,11,21,39,2,https://www.youtube.com/watch?v=GIOaMV8ji0w,XOXO (Chinese Version),youtube,,2019-12-11 21:39:00
2968,2968,4.9487181,Watched,['People & Blogs'],1.0,77.0,188.0,3458.0,2019,12,11,21,43,2,https://www.youtube.com/watch?v=LZj9SlUYQ20,【IsSing Garden】140718 BABY DON'T CRY LAY FOCUS @ EXO THE LOST PLANET IN SHANGHAI,youtube,,2019-12-11 21:43:00
2967,2967,4.9178543,Watched,['Music'],9013.0,429866.0,241.0,22828901.0,2019,12,11,21,44,2,https://www.youtube.com/watch?v=n-qm0xh0VK4,,youtube,,2019-12-11 21:44:00
2966,2966,4.805970200000001,Watched,['Music'],13.0,255.0,235.0,13777.0,2019,12,11,21,47,2,https://www.youtube.com/watch?v=J_lKbMK_6dw,彼得潘 (Peter Pan),youtube,,2019-12-11 21:47:00
2965,2965,4.9097991,Watched,['Music'],4625.0,200473.0,232.0,13242375.0,2019,12,11,21,52,2,https://www.youtube.com/watch?v=9dVvdVpPIok,EXO 엑소 '늑대와 미녀 (Wolf)' MV (Chinese Ver.),youtube,,2019-12-11 21:52:00
2964,2964,4.9642949,Watched,['Music'],103.0,11436.0,262.0,935823.0,2019,12,11,21,52,2,https://www.youtube.com/watch?v=3hrHjHiEfuM,IU unlucky Lyrics (아이유 unlucky 가사) [Color Coded Lyrics/Han/Rom/Eng],youtube,,2019-12-11 21:52:00
